country,iso2code,country_year,year_election,election_date,election_type,source_type,source_name,title_art,date_art,page_art,section_art,words_art,sentence,type_cs,subject_function,subject_party,subject_individual,direction,object_function,object_party,object_individual,issue_cat,issue_subcat,party_id,party_name,party_name_short,vote_share,seats,seats_total,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess
United Kingdom,UK,UK_1974,1974,28/02/1974,parl,newspaper articles,The Sun (English ed.),Heath rejects,15/02/1974,.,National,NA,soll stoppen,actor-issue,NA,Conservatives,,1,NA,,,ecolib,labour market,773,Conservatives,Con,38,297,635,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Times,ELECTION COUNTDOWN,06/04/2015,9,News,NA,the man they love to hate,actor-actor,Nat. political party,Conservatives,,-1,Nat. political party,Labour party,"Balls, Ed",not attachable,NA,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Times,Millions of online hits for advert attacking Corbyn,01/06/2017,"10,11",News,924,He finally fails to condemn the IRA's campaign in two interviews.,actor-actor,Nat. political party,Conservatives,,-1,Nat. political party,Labour Party,Jeremy Corbyn,security,terrorism,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Times,Be sure with,15/03/1997,.,Titelseite,NA,attempt to reclaim the centre ground from,actor-actor,NA,Conservatives,,-1,NA,,,not attachable,NA,773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1974,1974,28/02/1974,parl,newspaper articles,The Sun (English ed.),Enoch: I've voted,27/02/1974,.,National,NA,w<e4>hlte,actor-actor,NA,Conservatives,,1,NA,,,not attachable,NA,773,Conservatives,Con,38,297,635,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_1997,1997,01/05/1997,parl,newspaper articles,The Times,Conservatives,31/03/1997,.,National,NA,minimum sentences for repeat burglars,actor-issue,NA,Conservatives,,1,NA,,,security,security (general),773,Conservatives,Con,30.7,165,659,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Sun (English ed.),'People don't realise what a risk Corbyn really is',27/04/2017,8,News,705,And we are engaged in a vast struggle against an evil Islamist death cult that is taking lives around the world.,actor-issue,Nat. executive/government,Conservatives,Boris Johnson,1,NA,,,security,terrorism,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2017,2017,08/06/2017,parl,newspaper articles,The Times,"Keep up with the threat, May tells MI5",05/06/2017,3,News,348,"The prime minister said that ""we cannot and must not pretend that things can continue as they are"".",actor-issue,Nat. political party,Conservatives,Theresa May,1,NA,,,security,terrorism,773,Conservatives,Con,42.45,318,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2015,2015,07/05/2015,parl,newspaper articles,The Sun (English ed.),MILI-BAGGED,22/03/2015,2,News,NA,Cam outwits Ed over television debates,actor-actor,Nat. political party,Conservatives,"Cameron, David",-1,Nat. political party,Labour,"Miliband, Ed",not attachable,NA,773,Conservatives,Con,36.93,331,650,51620,418,1826620,1606,603,1101,5103,1101
United Kingdom,UK,UK_2010,2010,06/05/2010,parl,newspaper articles,The Times,"In May, mandarins may be power brokers; Role in hung Parliament will help to calm City",31/03/2010,9,NEWS,NA,where David Cameron and Nick Clegg come to a power-sharing agreement,actor-issue,Nat. political party,Conservatives,"Cameron, David",NA,NA,,,not attachable,NA,773,Conservatives,Con,36.1,307,650,51620,418,1826620,1606,603,1101,5103,1101
