Which of the following do you think are the most important issues facing the country at this time? Please tick up to three.,2016-07-26,2016-08-02,2016-08-09,2016-08-17,2016-08-23,2016-08-31,2016-09-14,2016-10-12,2016-10-25,2016-11-01,2016-11-15,2016-11-29,2016-12-17,2017-01-10,2017-01-17,2017-01-24,2017-01-31,2017-02-13,2017-02-22,2017-02-28,2017-03-14,2017-03-21,2017-03-27,2017-04-06,2017-04-19,2017-04-26,2017-05-03,2017-05-10,2017-05-17,2017-05-31,2017-06-07,2017-06-22,2017-07-11,2017-08-01,2017-08-31,2017-09-12,2017-10-11,2017-11-28,2017-12-12,2017-12-20,2017-12-21,2018-01-03,2018-01-08,2018-01-16,2018-01-30,2018-02-06,2018-02-13,2018-02-20,2018-02-27,2018-03-06,2018-03-27,2018-04-10,2018-04-17,2018-04-25,2018-05-01,2018-05-09,2018-05-14,2018-05-21,2018-05-29,2018-06-05,2018-06-12,2018-06-19,2018-06-26,2018-07-04,2018-07-09,2018-07-17,2018-07-23,2018-07-31,2018-08-14,2018-08-21,2018-08-29,2018-09-04,2018-09-20,2018-10-01,2018-10-09,2018-10-15,2018-10-23,2018-11-05,2018-11-19,2018-11-27,2018-12-04,2019-01-07,2019-01-14,2019-01-21,2019-02-04,2019-03-07,2019-03-25,2019-04-03,2019-04-11,2019-04-30,2019-05-29,2019-06-06,2019-06-24,2019-07-01,2019-07-08,2019-07-14,2019-07-22,2019-07-29,2019-08-05,2019-08-11,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-06,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-01,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-09,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-03,2020-05-10,2020-05-18,2020-05-25,2020-06-02,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-18,2020-10-26,2020-11-02,2020-11-09,2020-11-15,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-20,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-29,2021-09-06,2021-09-12,2021-09-19,2021-09-26,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-07,2021-11-15,2021-11-22,2021-11-29,2021-12-05,2021-12-13,2021-12-20,2021-12-27,2022-01-02,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-06,2022-02-13,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-20,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-24,2022-05-02,2022-05-08,2022-05-16,2022-05-22,2022-05-29,2022-06-06,2022-06-13,2022-06-19,2022-06-27,2022-07-03,2022-07-11,2022-07-17,2022-07-25,2022-07-31,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-25,2022-10-02,2022-10-09,2022-10-17,2022-10-23,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-01,2023-01-09,2023-01-15,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-26,2023-03-06,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-21,2023-05-28,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-24,2024-01-01,2024-01-07,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-11,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-16,2024-04-22,2024-04-28,2024-05-06,2024-05-13,2024-05-20
Health,26%,27%,27%,28%,31%,33%,36%,30%,30%,31%,30%,32%,33%,42%,48%,45%,41%,49%,48%,44%,41%,40%,37%,40%,40%,45%,42%,44%,42%,35%,33%,33%,32%,36%,31%,33%,35%,38%,39%,37%,36%,37%,49%,50%,48%,51%,48%,45%,40%,38%,42%,42%,40%,35%,36%,36%,40%,38%,42%,41%,38%,43%,40%,43%,41%,37%,35%,30%,34%,32%,32%,32%,29%,34%,35%,34%,34%,32%,29%,28%,27%,31%,33%,30%,30%,24%,26%,26%,26%,27%,29%,33%,30%,31%,27%,26%,27%,25%,28%,31%,29%,31%,30%,26%,28%,33%,28%,34%,29%,32%,29%,31%,39%,40%,40%,40%,48%,50%,42%,40%,40%,39%,39%,40%,38%,41%,37%,50%,53%,70%,71%,73%,72%,72%,76%,68%,67%,63%,62%,60%,54%,59%,53%,54%,50%,53%,50%,51%,51%,54%,47%,48%,45%,45%,44%,48%,49%,51%,54%,51%,55%,51%,59%,57%,57%,52%,54%,51%,50%,56%,57%,61%,69%,62%,58%,64%,58%,63%,58%,54%,56%,55%,53%,53%,48%,45%,49%,50%,50%,48%,54%,48%,51%,47%,46%,50%,52%,53%,53%,53%,50%,44%,47%,44%,41%,39%,48%,46%,47%,47%,47%,42%,46%,54%,44%,46%,47%,45%,49%,49%,50%,55%,47%,44%,50%,51%,47%,40%,37%,45%,40%,37%,31%,34%,35%,38%,34%,40%,35%,34%,35%,38%,35%,31%,34%,33%,32%,38%,31%,37%,34%,36%,35%,37%,38%,37%,40%,32%,35%,34%,38%,37%,37%,35%,40%,40%,37%,37%,41%,41%,40%,47%,44%,44%,47%,59%,58%,53%,52%,48%,45%,46%,44%,40%,39%,40%,42%,37%,43%,41%,42%,40%,41%,39%,42%,41%,39%,38%,37%,41%,43%,43%,43%,37%,37%,44%,39%,41%,40%,43%,41%,45%,39%,42%,40%,38%,37%,41%,42%,39%,39%,43%,41%,44%,46%,43%,41%,41%,42%,40%,39%,45%,40%,41%,39%,42%,42%,42%,41%,39%,39%,45%,41%,40%,38%,39%
Immigration & Asylum,69%,73%,69%,66%,65%,71%,69%,66%,71%,70%,65%,62%,67%,64%,64%,64%,68%,64%,58%,60%,61%,59%,61%,59%,55%,56%,55%,54%,56%,56%,58%,53%,59%,57%,55%,57%,54%,53%,49%,48%,50%,49%,46%,46%,49%,47%,51%,49%,53%,52%,48%,48%,46%,47%,54%,49%,49%,49%,47%,49%,49%,49%,54%,48%,51%,49%,52%,45%,49%,52%,46%,51%,48%,48%,45%,44%,45%,47%,47%,41%,39%,50%,48%,49%,45%,45%,37%,36%,41%,39%,39%,41%,41%,40%,41%,42%,37%,36%,39%,40%,39%,43%,41%,33%,38%,38%,36%,40%,38%,37%,38%,39%,39%,35%,39%,36%,34%,39%,39%,37%,38%,35%,39%,39%,38%,37%,41%,35%,38%,30%,23%,20%,24%,23%,20%,24%,25%,30%,28%,32%,29%,28%,30%,28%,35%,32%,34%,36%,38%,36%,51%,51%,50%,44%,52%,46%,45%,45%,43%,42%,36%,37%,39%,38%,37%,33%,36%,38%,37%,32%,36%,31%,29%,33%,32%,34%,36%,31%,31%,36%,35%,30%,37%,43%,41%,41%,41%,40%,36%,42%,41%,43%,43%,50%,48%,47%,41%,41%,46%,41%,46%,48%,52%,50%,56%,57%,52%,56%,54%,46%,45%,44%,43%,42%,43%,48%,51%,60%,63%,58%,55%,54%,53%,50%,47%,48%,46%,46%,41%,42%,36%,40%,44%,39%,42%,40%,34%,36%,51%,47%,41%,40%,45%,42%,41%,40%,46%,52%,47%,45%,41%,41%,44%,42%,42%,45%,40%,46%,45%,49%,42%,42%,43%,42%,39%,41%,63%,53%,58%,57%,59%,56%,55%,56%,55%,54%,51%,50%,50%,48%,48%,52%,54%,52%,55%,60%,58%,59%,57%,56%,58%,58%,54%,54%,61%,57%,57%,61%,57%,60%,56%,57%,60%,60%,61%,65%,65%,65%,65%,64%,61%,59%,65%,61%,60%,64%,64%,62%,58%,66%,68%,64%,66%,60%,66%,63%,63%,61%,64%,59%,66%,64%,64%,63%,63%,62%,62%,62%,65%,61%,63%,63%,63%,64%,68%,64%
Crime,15%,17%,15%,14%,12%,11%,12%,11%,13%,15%,10%,12%,10%,9%,11%,8%,11%,10%,11%,12%,16%,12%,13%,13%,12%,11%,13%,13%,12%,8%,11%,13%,11%,11%,12%,11%,12%,14%,12%,13%,13%,15%,15%,14%,14%,12%,16%,15%,13%,13%,16%,28%,26%,21%,25%,29%,22%,31%,25%,32%,30%,25%,22%,23%,23%,22%,29%,28%,29%,27%,29%,27%,32%,26%,26%,29%,26%,32%,27%,33%,28%,26%,24%,27%,32%,47%,39%,38%,36%,36%,33%,29%,34%,39%,38%,38%,37%,39%,38%,37%,46%,41%,40%,40%,36%,36%,34%,32%,37%,37%,33%,36%,29%,28%,24%,28%,27%,31%,24%,26%,29%,33%,35%,36%,37%,36%,37%,34%,32%,28%,16%,15%,17%,16%,11%,13%,14%,18%,13%,14%,13%,17%,20%,16%,30%,23%,20%,21%,21%,19%,20%,20%,18%,19%,19%,18%,19%,17%,15%,17%,15%,15%,15%,16%,16%,13%,16%,16%,14%,13%,17%,17%,13%,15%,17%,16%,15%,16%,20%,22%,20%,24%,28%,27%,28%,28%,30%,27%,30%,30%,29%,28%,28%,30%,27%,29%,28%,28%,27%,26%,26%,27%,28%,30%,28%,26%,22%,21%,20%,25%,29%,24%,29%,25%,22%,24%,21%,23%,26%,22%,25%,23%,24%,25%,24%,24%,23%,24%,21%,26%,27%,19%,21%,20%,19%,18%,17%,16%,17%,17%,20%,17%,21%,24%,19%,20%,16%,14%,17%,19%,18%,18%,16%,18%,15%,17%,20%,23%,25%,24%,24%,15%,21%,18%,16%,20%,18%,21%,19%,18%,20%,19%,17%,20%,23%,18%,15%,19%,18%,17%,21%,22%,18%,20%,21%,23%,23%,25%,22%,24%,24%,23%,22%,22%,22%,22%,22%,22%,21%,22%,24%,26%,21%,22%,25%,26%,20%,22%,22%,23%,27%,26%,29%,27%,28%,24%,25%,29%,26%,28%,29%,23%,26%,22%,24%,24%,27%,24%,26%,28%,28%,25%,30%,25%,28%,28%,26%,25%,27%,24%,27%,23%,27%,30%,32%,32%
The economy,38%,33%,38%,33%,34%,33%,27%,32%,32%,32%,33%,33%,31%,29%,26%,31%,32%,25%,26%,26%,29%,28%,30%,28%,34%,31%,31%,31%,32%,25%,23%,26%,29%,31%,28%,28%,28%,31%,28%,26%,26%,29%,24%,26%,22%,23%,22%,23%,25%,23%,24%,22%,21%,24%,23%,25%,24%,22%,23%,19%,24%,24%,20%,19%,23%,23%,22%,23%,25%,22%,24%,25%,24%,24%,24%,20%,26%,20%,22%,24%,25%,24%,23%,24%,24%,21%,19%,23%,21%,21%,20%,23%,21%,20%,21%,21%,21%,20%,21%,24%,22%,21%,20%,24%,23%,21%,21%,22%,22%,22%,26%,24%,22%,26%,25%,22%,22%,20%,28%,24%,22%,24%,23%,29%,27%,27%,27%,24%,26%,33%,48%,46%,49%,52%,60%,58%,62%,62%,59%,60%,59%,60%,64%,61%,55%,58%,65%,58%,54%,59%,53%,56%,55%,55%,56%,55%,55%,58%,57%,60%,60%,58%,56%,58%,55%,60%,61%,55%,58%,56%,57%,62%,60%,62%,58%,61%,61%,61%,60%,62%,63%,65%,61%,61%,55%,59%,54%,55%,53%,52%,51%,51%,47%,48%,52%,54%,50%,52%,47%,51%,51%,49%,48%,48%,39%,42%,41%,43%,41%,43%,49%,54%,49%,49%,52%,46%,42%,44%,39%,40%,46%,47%,45%,46%,48%,43%,51%,47%,61%,51%,50%,53%,52%,55%,58%,54%,60%,59%,58%,60%,57%,70%,63%,65%,65%,64%,66%,64%,68%,65%,72%,68%,63%,69%,71%,68%,71%,71%,72%,71%,69%,72%,69%,74%,75%,72%,66%,70%,69%,64%,64%,68%,69%,67%,63%,68%,63%,65%,64%,69%,62%,63%,64%,57%,60%,61%,57%,58%,59%,59%,57%,60%,59%,64%,55%,55%,54%,60%,63%,61%,64%,58%,63%,61%,67%,58%,58%,59%,58%,58%,55%,57%,51%,54%,56%,53%,54%,51%,53%,52%,51%,53%,54%,50%,52%,51%,54%,55%,50%,50%,43%,47%,49%,50%,51%,46%,46%,47%,44%,43%,45%,49%,45%,44%,44%,48%
Tax,3%,4%,4%,4%,4%,5%,3%,4%,5%,3%,5%,6%,4%,4%,3%,3%,5%,4%,6%,5%,5%,5%,4%,5%,6%,5%,5%,6%,5%,4%,3%,3%,4%,3%,3%,4%,3%,5%,3%,2%,5%,4%,2%,5%,4%,5%,2%,3%,4%,5%,3%,4%,4%,3%,3%,3%,2%,4%,4%,2%,3%,2%,2%,4%,3%,4%,2%,3%,3%,4%,3%,3%,5%,3%,6%,3%,4%,4%,2%,3%,6%,3%,3%,4%,3%,3%,2%,3%,4%,4%,4%,3%,4%,3%,4%,4%,4%,4%,3%,3%,3%,3%,3%,3%,2%,3%,4%,3%,4%,1%,4%,4%,4%,3%,4%,5%,4%,2%,3%,3%,3%,5%,4%,5%,5%,3%,4%,4%,4%,4%,2%,3%,2%,3%,2%,4%,2%,3%,4%,3%,4%,3%,2%,3%,2%,2%,3%,4%,4%,3%,2%,4%,3%,3%,4%,3%,3%,2%,3%,2%,3%,3%,2%,4%,3%,2%,5%,3%,2%,3%,4%,4%,3%,2%,6%,4%,7%,5%,6%,6%,8%,5%,6%,6%,6%,5%,5%,4%,5%,4%,3%,4%,3%,4%,5%,4%,5%,4%,5%,5%,4%,5%,4%,5%,4%,4%,6%,12%,10%,11%,9%,13%,10%,8%,11%,11%,7%,6%,7%,7%,8%,5%,10%,10%,11%,13%,11%,14%,18%,16%,17%,13%,12%,16%,15%,17%,23%,22%,14%,16%,15%,15%,16%,18%,14%,17%,19%,15%,17%,16%,16%,21%,19%,18%,17%,16%,13%,12%,12%,14%,15%,18%,14%,17%,11%,13%,11%,9%,18%,13%,12%,10%,11%,11%,11%,8%,8%,9%,10%,11%,10%,10%,13%,12%,10%,10%,14%,10%,10%,11%,11%,8%,12%,12%,12%,11%,10%,10%,9%,9%,10%,9%,8%,9%,11%,9%,11%,8%,9%,7%,10%,8%,12%,11%,10%,10%,10%,10%,10%,10%,9%,10%,11%,11%,10%,9%,13%,10%,12%,9%,10%,10%,11%,11%,12%,13%,11%,10%,9%,14%,12%,12%,11%,11%,9%,10%
Pensions,9%,11%,10%,10%,11%,10%,11%,8%,10%,11%,10%,10%,10%,6%,9%,8%,9%,8%,12%,11%,9%,10%,11%,10%,8%,10%,11%,10%,8%,9%,8%,7%,8%,8%,7%,8%,8%,12%,8%,8%,10%,7%,7%,9%,7%,9%,9%,10%,10%,9%,11%,8%,7%,7%,7%,6%,7%,7%,8%,7%,8%,5%,7%,7%,5%,6%,5%,9%,7%,6%,5%,7%,6%,8%,7%,7%,7%,8%,9%,7%,9%,7%,5%,4%,9%,5%,5%,6%,7%,7%,6%,7%,9%,5%,8%,6%,8%,7%,6%,8%,7%,9%,8%,7%,8%,7%,7%,9%,7%,7%,7%,6%,8%,5%,7%,9%,9%,9%,9%,8%,8%,9%,10%,9%,8%,7%,9%,8%,9%,9%,7%,6%,5%,4%,6%,6%,4%,4%,4%,4%,6%,4%,4%,4%,6%,4%,7%,5%,6%,6%,6%,9%,8%,7%,7%,6%,6%,5%,4%,5%,5%,6%,7%,6%,7%,5%,5%,6%,4%,5%,5%,6%,5%,6%,3%,4%,5%,6%,6%,5%,6%,7%,7%,5%,7%,8%,5%,8%,7%,8%,8%,6%,5%,7%,8%,8%,7%,10%,9%,10%,8%,10%,9%,9%,11%,13%,12%,10%,12%,11%,12%,10%,9%,9%,11%,8%,9%,13%,12%,10%,12%,11%,11%,11%,12%,10%,13%,13%,13%,14%,11%,13%,14%,13%,14%,15%,16%,15%,12%,12%,13%,12%,11%,14%,12%,15%,13%,12%,13%,10%,11%,10%,11%,11%,11%,14%,12%,13%,13%,13%,12%,15%,14%,12%,17%,17%,15%,14%,10%,12%,9%,9%,11%,12%,10%,8%,7%,11%,9%,10%,12%,8%,9%,8%,12%,10%,9%,10%,10%,11%,8%,10%,9%,7%,9%,8%,10%,9%,7%,9%,8%,8%,6%,8%,8%,7%,8%,7%,8%,7%,9%,10%,10%,11%,8%,10%,10%,9%,8%,8%,8%,9%,9%,8%,7%,9%,9%,6%,6%,6%,8%,9%,9%,8%,10%,10%,10%,11%,12%,12%,12%,10%,10%,9%,11%,9%
Education,7%,7%,8%,9%,7%,9%,9%,7%,8%,8%,7%,8%,7%,7%,7%,9%,7%,9%,8%,9%,11%,11%,11%,10%,13%,11%,13%,12%,10%,10%,7%,10%,8%,7%,8%,7%,10%,9%,8%,7%,9%,9%,9%,9%,10%,10%,9%,11%,9%,8%,9%,8%,7%,8%,9%,7%,7%,9%,10%,8%,9%,8%,8%,7%,7%,8%,6%,7%,7%,8%,9%,7%,8%,9%,9%,7%,8%,9%,7%,8%,7%,7%,6%,8%,8%,8%,8%,8%,9%,10%,8%,8%,8%,9%,10%,8%,9%,8%,7%,8%,8%,6%,8%,9%,8%,8%,9%,10%,7%,9%,9%,9%,9%,10%,8%,9%,9%,10%,7%,7%,9%,7%,9%,7%,7%,8%,9%,10%,7%,6%,8%,6%,6%,8%,6%,12%,11%,10%,12%,12%,13%,11%,16%,19%,16%,15%,13%,11%,12%,12%,15%,15%,13%,14%,12%,9%,9%,8%,9%,10%,8%,8%,9%,9%,6%,10%,7%,9%,9%,10%,10%,19%,23%,19%,21%,24%,23%,26%,23%,23%,20%,19%,12%,16%,14%,13%,16%,12%,13%,12%,11%,15%,14%,18%,15%,15%,15%,18%,16%,13%,13%,12%,13%,12%,10%,8%,11%,9%,11%,11%,9%,9%,10%,10%,9%,8%,10%,9%,6%,10%,8%,11%,11%,10%,11%,11%,9%,11%,6%,11%,9%,8%,8%,8%,7%,6%,9%,9%,8%,8%,8%,6%,6%,7%,8%,7%,6%,6%,7%,7%,7%,5%,6%,4%,5%,5%,6%,7%,5%,8%,6%,7%,6%,6%,5%,7%,5%,7%,8%,7%,6%,8%,6%,5%,7%,8%,6%,9%,8%,9%,8%,7%,9%,10%,11%,9%,8%,10%,8%,7%,11%,8%,8%,8%,6%,10%,9%,7%,9%,7%,9%,10%,7%,6%,6%,6%,7%,9%,7%,9%,10%,10%,6%,9%,9%,8%,8%,8%,7%,6%,8%,8%,7%,10%,9%,7%,7%,8%,9%,9%,9%,6%,9%,8%,6%,8%,8%,8%,8%,9%,10%,7%,6%,7%,7%,6%
Family life & childcare,2%,4%,3%,4%,4%,3%,2%,3%,2%,4%,4%,4%,4%,2%,2%,3%,3%,4%,5%,5%,3%,4%,2%,3%,4%,3%,4%,7%,3%,3%,2%,4%,3%,3%,5%,4%,4%,3%,4%,4%,6%,3%,2%,4%,4%,4%,4%,3%,4%,2%,2%,4%,4%,5%,2%,3%,4%,4%,2%,3%,3%,3%,4%,3%,3%,2%,2%,2%,3%,3%,4%,2%,2%,3%,3%,2%,5%,3%,3%,3%,3%,4%,3%,2%,2%,2%,3%,3%,2%,3%,4%,3%,3%,4%,2%,4%,3%,4%,3%,3%,3%,2%,2%,2%,3%,3%,3%,3%,1%,3%,3%,3%,3%,4%,4%,4%,4%,3%,3%,2%,3%,3%,2%,3%,4%,4%,3%,4%,4%,4%,12%,8%,7%,9%,10%,8%,9%,5%,6%,8%,8%,7%,3%,5%,4%,4%,3%,4%,4%,5%,4%,3%,4%,3%,3%,3%,4%,4%,4%,4%,4%,6%,8%,5%,5%,6%,4%,4%,3%,4%,6%,5%,8%,7%,8%,5%,6%,6%,8%,4%,4%,5%,4%,4%,2%,4%,4%,4%,3%,5%,5%,5%,4%,5%,5%,3%,5%,5%,3%,4%,4%,3%,4%,4%,5%,4%,3%,4%,5%,4%,4%,2%,4%,4%,5%,4%,3%,5%,4%,3%,4%,6%,3%,5%,6%,6%,7%,5%,7%,7%,6%,4%,3%,5%,5%,4%,7%,8%,6%,6%,6%,5%,7%,5%,10%,7%,8%,6%,7%,5%,7%,4%,5%,6%,5%,6%,6%,5%,5%,5%,7%,8%,6%,7%,6%,6%,4%,7%,6%,5%,4%,4%,6%,5%,6%,6%,6%,3%,5%,7%,6%,5%,7%,6%,5%,6%,7%,8%,5%,5%,5%,6%,5%,6%,4%,6%,5%,4%,5%,6%,3%,5%,5%,5%,4%,5%,4%,4%,5%,5%,5%,3%,5%,4%,5%,3%,5%,5%,5%,4%,4%,5%,5%,6%,6%,5%,4%,4%,5%,6%,6%,5%,4%,4%,3%,5%,5%,4%,5%,6%,5%,4%,5%,5%,5%,3%
Housing,15%,14%,18%,19%,18%,19%,17%,14%,15%,14%,16%,17%,15%,17%,18%,18%,14%,18%,16%,16%,17%,15%,15%,14%,12%,15%,15%,12%,12%,11%,8%,9%,11%,15%,11%,12%,16%,16%,16%,19%,19%,17%,19%,15%,17%,16%,14%,16%,14%,19%,13%,16%,15%,15%,16%,16%,16%,14%,14%,14%,13%,15%,11%,15%,13%,14%,15%,12%,15%,14%,14%,15%,18%,17%,18%,16%,15%,16%,12%,15%,15%,14%,14%,15%,15%,12%,14%,13%,14%,12%,10%,12%,13%,10%,12%,12%,13%,13%,12%,13%,11%,13%,12%,10%,12%,11%,11%,13%,11%,10%,11%,13%,11%,12%,13%,12%,12%,11%,12%,13%,12%,12%,12%,11%,15%,15%,15%,17%,14%,14%,8%,9%,7%,7%,7%,7%,8%,8%,6%,7%,9%,5%,5%,7%,7%,9%,8%,10%,9%,8%,8%,7%,9%,7%,9%,9%,7%,7%,8%,11%,7%,10%,6%,8%,11%,9%,10%,11%,8%,6%,9%,10%,10%,9%,8%,7%,8%,10%,10%,12%,11%,10%,10%,8%,12%,12%,13%,15%,15%,11%,10%,14%,13%,15%,13%,17%,12%,13%,15%,13%,12%,13%,15%,13%,16%,14%,17%,13%,14%,14%,13%,13%,13%,14%,14%,15%,14%,11%,13%,13%,12%,11%,13%,13%,13%,10%,13%,12%,14%,14%,17%,16%,13%,13%,14%,16%,16%,14%,13%,14%,14%,13%,14%,14%,12%,15%,14%,16%,14%,12%,11%,12%,12%,11%,12%,11%,13%,11%,13%,13%,12%,14%,13%,14%,12%,10%,11%,10%,10%,14%,14%,12%,12%,12%,13%,11%,12%,9%,13%,9%,12%,13%,11%,13%,12%,14%,13%,16%,13%,13%,14%,15%,16%,14%,16%,14%,15%,16%,18%,17%,15%,17%,16%,20%,18%,14%,19%,17%,18%,18%,16%,16%,15%,16%,15%,17%,19%,16%,19%,17%,15%,20%,15%,19%,18%,22%,17%,17%,16%,18%,16%,17%,16%,17%,17%,17%,15%,18%,17%,17%,16%,17%,16%,16%,15%,16%
The environment,4%,4%,4%,3%,4%,4%,3%,3%,4%,4%,5%,5%,4%,5%,4%,5%,4%,5%,6%,6%,6%,5%,5%,5%,6%,5%,4%,4%,4%,2%,2%,2%,3%,4%,5%,5%,3%,5%,7%,4%,5%,7%,5%,6%,7%,4%,6%,6%,5%,8%,7%,5%,10%,7%,7%,8%,7%,7%,8%,8%,7%,7%,8%,9%,6%,8%,5%,10%,8%,7%,9%,7%,7%,8%,10%,9%,10%,9%,8%,9%,11%,8%,8%,8%,9%,8%,10%,9%,12%,12%,15%,15%,14%,16%,15%,14%,14%,14%,14%,12%,12%,14%,16%,15%,13%,19%,17%,16%,17%,16%,14%,14%,17%,17%,15%,19%,13%,16%,16%,18%,16%,22%,23%,19%,19%,19%,20%,20%,24%,16%,13%,14%,13%,12%,10%,14%,15%,16%,15%,11%,16%,12%,13%,12%,11%,13%,13%,15%,13%,11%,14%,11%,11%,12%,11%,12%,13%,13%,14%,15%,15%,14%,13%,13%,13%,18%,14%,13%,12%,12%,15%,17%,15%,13%,15%,15%,17%,15%,17%,16%,18%,19%,18%,18%,19%,19%,19%,20%,20%,20%,18%,22%,22%,17%,18%,18%,22%,20%,19%,23%,21%,22%,24%,27%,22%,18%,21%,17%,21%,22%,20%,20%,25%,24%,27%,29%,29%,24%,23%,20%,19%,19%,14%,20%,17%,19%,20%,18%,16%,17%,15%,16%,16%,17%,14%,15%,12%,17%,14%,18%,18%,18%,16%,17%,17%,15%,17%,14%,13%,15%,15%,16%,22%,17%,21%,22%,17%,18%,18%,16%,17%,14%,17%,16%,16%,17%,16%,18%,16%,16%,16%,14%,15%,14%,15%,13%,16%,14%,15%,15%,15%,13%,10%,13%,12%,12%,16%,14%,13%,14%,12%,15%,13%,17%,16%,16%,17%,16%,17%,15%,17%,15%,21%,23%,21%,16%,17%,17%,18%,17%,16%,17%,16%,17%,14%,13%,13%,13%,14%,13%,13%,15%,14%,15%,14%,13%,14%,15%,13%,12%,13%,13%,13%,10%,11%,11%,11%,11%,9%,10%,11%,11%,10%,13%,10%,11%
