country,iso2code,country_year,year_election,election_date,election_type,source_type,source_name,title_art,date_art,page_art,section_art,words_art,sentence,type_cs,subject_function,subject_party,subject_individual,direction,object_function,object_party,object_individual,issue_cat,issue_subcat,party_id,party_name,party_name_short,vote_share,seats,seats_total,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),¬£7bn for schools,10/05/2017,9,News,81.0,LIB DEMS TIM Farron will pledge a ¬£7billion boost for schools today ‚Äî paid for by tax hikes on business.,actor-issue,Nat. political party,Liberals,,-1.0,,,,ecolib,budget tax,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,Lib Dems lose ground but gain hope,06/05/2017,7,News,255.0,"We've held our ground, unlike Labour, which has collapsed, and Ukip, which has virtually disappeared, he said.",actor-actor,Nat. political party,Liberals,Sir Vince Cable,-1.0,Nat. political party,UKIP,,not attachable,,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),¬£7bn for schools,10/05/2017,9,News,81.0,Funds would come by reversing corporation tax cuts and scrapping Tory grammar school plans.,actor-issue,Nat. political party,Liberals,,-1.0,,,,ecolib,budget tax,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"¬£10,000 for engineering graduates who join army",15/05/2017,11,News,158.0,"Tim Farron announced his party's policy to boost the armed forces and tackle the recruitment issue as he pledged to maintain annual defence spending at 2 per cent of GDP, the Nato target.",actor-issue,Nat. political party,Liberals,Tim Farron,1.0,,,,defense,defense (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),Tim takes it to Kate,25/04/2017,8,News,94.0,"But he says Ms Hoey is, in effect, a candidate for Ukip, which is not opposing Eurosceptic MPs.",actor-actor,Nat. political party,Liberals,Tim Farron,-1.0,Nat. political party,Labour Party,Kate Hoey,not attachable,,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),"FARRON: LET IN 50,000 SYRIANS",12/05/2017,8,News,122.0,But ex-Tory leader Iain Duncan Smith said it would expose us to terror attacks such as those in Germany after it took in a million refugees in a year.,actor-issue,Nat. political party,Liberals,Tim Farron,-1.0,,,,security,terrorism,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"Legalising cannabis will raise ¬£1bn a year in tax, say Lib Dems",18/05/2017,"10,11",News,632.0,Housing benefit would also be restored for those aged 18 to 21 and the controversial work capability assessments would be scrapped.,actor-issue,Nat. political party,Liberals,,-1.0,,,,ecolib,housing,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,May accused of dodging TV showdowns,19/04/2017,5,News,994.0,"Mr Farron said: ""The prime minister's attempt to dodge scrutiny shows how she holds the public in contempt.",actor-issue,Nat. political party,Liberals,Tim Farron,,,,,not attachable,,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"Legalising cannabis will raise ¬£1bn a year in tax, say Lib Dems",18/05/2017,"10,11",News,632.0,Funding for the NHS and social care would be increased by £6 billion,actor-issue,Nat. political party,Liberals,,1.0,,,,welfare,health care,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"¬£10,000 for engineering graduates who join army",15/05/2017,11,News,158.0,"¬£10,000 for engineering graduates who join army",actor-issue,Nat. political party,Liberals,,1.0,,,,defense,defense (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"Legalising cannabis will raise ¬£1bn a year in tax, say Lib Dems",18/05/2017,"10,11",News,632.0,The party is also promising to put a penny on all bands of income tax as part of a £13.4 billion revenue-raising package,actor-issue,Nat. political party,Liberals,,-1.0,,,,ecolib,budget tax,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,May accused of dodging TV showdowns,19/04/2017,5,News,994.0,"The stance provoked an angry reaction from Mr Corbyn and Tim Farron, with the Liberal Democrat leader calling on broadcasters to leave an empty chair if she refused to take part.",actor-issue,Nat. political party,Liberals,Tim Farron,,,,,not attachable,,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"'Paranoid' May is not suited to heading EU talks, insists Clegg",13/05/2017,11,News,648.0,"'Paranoid' May is not suited to heading EU talks, insists Clegg",actor-actor,Nat. political party,Liberals,Nick Clegg,-1.0,Nat. executive/government,Conservatives,Theresa May,not attachable,,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,NHS faces ¬£20bn funding hole whichever party wins,06/06/2017,25,News,408.0,"The Conservatives, Labour and the Liberal Democrats have all promised to increase the NHS England budget, which is currently ¬£124 billion.",actor-issue,Nat. political party,Liberals,,1.0,,,,welfare,health care,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),"FARRON: LET IN 50,000 SYRIANS",12/05/2017,8,News,122.0,"He said: ""It's unsurprising but it's irresponsible.""",actor-issue,Nat. political party,Liberals,Tim Farron,-1.0,,,,security,terrorism,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"Legalising cannabis will raise ¬£1bn a year in tax, say Lib Dems",18/05/2017,"10,11",News,632.0,"However, there will be no repeat of the Lib Dems' 2010 pledge to scrap university tuition fees.",actor-issue,Nat. political party,Liberals,,-1.0,,,,edu,tertiary education,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"Legalising cannabis will raise ¬£1bn a year in tax, say Lib Dems",18/05/2017,"10,11",News,632.0,"At the heart of the manifesto is a second referendum on Brexit, where the final deal would be put to a vote, including an option to remain in the EU .",actor-issue,Nat. political party,Liberals,,-1.0,,,,europe,deepening (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),"FARRON: LET IN 50,000 SYRIANS",12/05/2017,8,News,122.0,"He said the Government's programme to take in 20,000 by 2020 was ""pitiful"" and taking 10,000 a year was the ""patriotic thing to do"".",actor-issue,Nat. political party,Liberals,Tim Farron,1.0,,,,immig,immigration,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"Legalising cannabis will raise ¬£1bn a year in tax, say Lib Dems",18/05/2017,"10,11",News,632.0,funded by putting a penny on all income tax bands.,actor-issue,Nat. political party,Liberals,,-1.0,,,,ecolib,budget tax,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),"FARRON: LET IN 50,000 SYRIANS",12/05/2017,8,News,122.0,"FARRON: LET IN 50,000 SYRIANS",actor-issue,Nat. political party,Liberals,Tim Farron,1.0,,,,immig,immigration,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,Parties' pledges all down to planning,01/06/2017,59,News,873.0,The Lib Dems will invest significant capital resources in infrastructure projects across the north of England and the Midlands.,actor-issue,Nat. political party,Liberals,,1.0,,,,infra,infrastructure (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,I don't think being gay [...],20/04/2017,11,News,188.0,"and LGBT rights are absolutely central to those human rights I am massively passionate about.""",actor-issue,Nat. political party,Liberals,Tim Farron,1.0,,,,cultlib,lgtbq,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),Farron: I'll hold new EU poll & hit diesel,18/05/2017,9,News,214.0,Farron: I'll hold new EU poll & hit diesel,actor-issue,Nat. political party,Liberals,Tim Farron,-1.0,,,,europe,deepening (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),Farage's caught in tuna pic backlash,19/04/2017,21,News,121.0,The police are screening out calls and don't seem to care.,actor-issue,Nat. political party,Liberals,Tim Farron,-1.0,,,,security,policing,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"'Paranoid' May is not suited to heading EU talks, insists Clegg",13/05/2017,11,News,648.0,"He said, however, that she could be petty, pointing to her long-running battle to cut child asylum seekers' support payments in order to make ""minuscule"" savings as an example of her ""lack of emotional intelligence"".",actor-actor,Nat. political party,Liberals,Nick Clegg,-1.0,Nat. executive/government,Conservatives,Theresa May,not attachable,,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"'Paranoid' May is not suited to heading EU talks, insists Clegg",13/05/2017,11,News,648.0,"Theresa May 's claim to be a strong and stable leader belies the reality of a robotic, brittle and petty character who is fundamentally ill-suited to the task of Brexit talks, according to her former cabinet colleague Nick Clegg.",actor-actor,Nat. political party,Liberals,Nick Clegg,-1.0,Nat. executive/government,Conservatives,Theresa May,not attachable,,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),Farron: I'll hold new EU poll & hit diesel,18/05/2017,9,News,214.0,"The Lib Dems would extend the 20 per cent sugar tax levy to fruit juices, milk-based drinks and fancy coffees.",actor-issue,Nat. political party,Liberals,Tim Farron,-1.0,,,,ecolib,budget tax,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"Legalising cannabis will raise ¬£1bn a year in tax, say Lib Dems",18/05/2017,"10,11",News,632.0,"In a shift from the more mainstream commitments of previous elections, the Lib Dems include proposals to decrimi-nalise prostitution,",actor-issue,Nat. political party,Liberals,,1.0,,,,cultlib,cultural liberalism (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"Legalising cannabis will raise ¬£1bn a year in tax, say Lib Dems",18/05/2017,"10,11",News,632.0,The party said that the measure was unaffordable.,actor-issue,Nat. political party,Liberals,,-1.0,,,,edu,tertiary education,659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,"Legalising cannabis will raise ¬£1bn a year in tax, say Lib Dems",18/05/2017,"10,11",News,632.0,to increase funding for public services and welfare.,actor-issue,Nat. political party,Liberals,,1.0,,,,welfare,welfare (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),ABORTION ROW TIM,22/05/2017,6,News,169.0,"LIB Dem boss Tim Farron refused five times to say whether he believes abortion is wrong - and then lashed out at the media for ""banging on"" about his faith.",actor-issue,Nat. political party,Liberals,Tim Farron,0.0,,,,cultlib,cultural liberalism (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Times,No 10 uses poll excuse to delay diesel curbs,24/04/2017,"1,4",News,582.0,"Labour and the Liberal Democrats said that the government was using purdah as an excuse to avoid publishing the plan, which is expected to include measures to require some cities to charge drivers of older diesel cars a daily entry fee.",actor-issue,Nat. political party,Liberals,,1.0,,,,env,environment (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
United Kingdom,UK,UK_2017,2017.0,08/06/2017,parl,newspaper articles,The Sun (English ed.),Farron: I'll hold new EU poll & hit diesel,18/05/2017,9,News,214.0,Farron: I'll hold new EU poll & hit diesel,actor-issue,Nat. political party,Liberals,Tim Farron,1.0,,,,europe,deepening (general),659.0,Liberals,Lib,7.37,12.0,650.0,51420.0,,,1605.0,,1104.0,,1104.0
