Which of the following do you think are the most important issues facing the country at this time? Please tick up to three.,2016-07-26,2016-08-02,2016-08-09,2016-08-17,2016-08-23,2016-08-31,2016-09-14,2016-10-12,2016-10-25,2016-11-01,2016-11-15,2016-11-29,2016-12-17,2017-01-10,2017-01-17,2017-01-24,2017-01-31,2017-02-13,2017-02-22,2017-02-28,2017-03-14,2017-03-21,2017-03-27,2017-04-06,2017-04-19,2017-04-26,2017-05-03,2017-05-10,2017-05-17,2017-05-31,2017-06-07,2017-06-22,2017-07-11,2017-08-01,2017-08-31,2017-09-12,2017-10-11,2017-11-28,2017-12-12,2017-12-20,2017-12-21,2018-01-03,2018-01-08,2018-01-16,2018-01-30,2018-02-06,2018-02-13,2018-02-20,2018-02-27,2018-03-06,2018-03-27,2018-04-10,2018-04-17,2018-04-25,2018-05-01,2018-05-09,2018-05-14,2018-05-21,2018-05-29,2018-06-05,2018-06-12,2018-06-19,2018-06-26,2018-07-04,2018-07-09,2018-07-17,2018-07-23,2018-07-31,2018-08-14,2018-08-21,2018-08-29,2018-09-04,2018-09-20,2018-10-01,2018-10-09,2018-10-15,2018-10-23,2018-11-05,2018-11-19,2018-11-27,2018-12-04,2019-01-07,2019-01-14,2019-01-21,2019-02-04,2019-03-07,2019-03-25,2019-04-03,2019-04-11,2019-04-30,2019-05-29,2019-06-06,2019-06-24,2019-07-01,2019-07-08,2019-07-14,2019-07-22,2019-07-29,2019-08-05,2019-08-11,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-06,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-01,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-09,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-03,2020-05-10,2020-05-18,2020-05-25,2020-06-02,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-18,2020-10-26,2020-11-02,2020-11-09,2020-11-15,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-20,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-29,2021-09-06,2021-09-12,2021-09-19,2021-09-26,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-07,2021-11-15,2021-11-22,2021-11-29,2021-12-05,2021-12-13,2021-12-20,2021-12-27,2022-01-02,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-06,2022-02-13,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-20,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-24,2022-05-02,2022-05-08,2022-05-16,2022-05-22,2022-05-29,2022-06-06,2022-06-13,2022-06-19,2022-06-27,2022-07-03,2022-07-11,2022-07-17,2022-07-25,2022-07-31,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-25,2022-10-02,2022-10-09,2022-10-17,2022-10-23,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-01,2023-01-09,2023-01-15,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-26,2023-03-06,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-21,2023-05-28,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-24,2024-01-01,2024-01-07,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-11,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-16,2024-04-22,2024-04-28,2024-05-06,2024-05-13,2024-05-20
Health,36%,34%,36%,35%,37%,45%,44%,38%,39%,41%,42%,43%,41%,54%,61%,51%,53%,57%,59%,53%,47%,53%,50%,48%,50%,54%,54%,59%,57%,54%,49%,46%,48%,47%,43%,43%,43%,48%,48%,44%,51%,47%,60%,60%,61%,61%,60%,55%,55%,50%,52%,48%,49%,47%,46%,50%,51%,51%,56%,48%,49%,55%,53%,52%,51%,50%,47%,49%,42%,42%,42%,45%,42%,43%,45%,43%,45%,43%,44%,43%,42%,42%,39%,43%,42%,34%,37%,40%,40%,38%,39%,42%,44%,41%,41%,37%,39%,37%,39%,40%,41%,40%,39%,41%,37%,42%,37%,42%,38%,43%,43%,47%,50%,54%,59%,58%,60%,59%,55%,56%,52%,51%,50%,52%,48%,51%,48%,55%,62%,74%,80%,82%,78%,81%,81%,79%,79%,75%,79%,75%,74%,69%,70%,68%,64%,67%,64%,65%,68%,67%,62%,61%,61%,62%,59%,63%,65%,66%,62%,67%,70%,67%,68%,68%,69%,61%,68%,61%,64%,64%,64%,72%,74%,72%,73%,72%,66%,66%,70%,60%,66%,64%,65%,62%,63%,61%,61%,59%,60%,58%,66%,62%,62%,60%,58%,62%,59%,58%,63%,65%,68%,58%,60%,57%,53%,53%,63%,61%,57%,55%,54%,49%,54%,62%,56%,54%,58%,58%,61%,61%,64%,66%,63%,65%,67%,61%,62%,57%,51%,56%,55%,48%,43%,40%,47%,43%,49%,48%,47%,44%,45%,41%,44%,39%,40%,43%,44%,41%,43%,44%,48%,52%,41%,46%,43%,47%,45%,42%,44%,50%,49%,45%,50%,48%,49%,51%,49%,48%,50%,52%,55%,58%,55%,59%,61%,69%,68%,63%,65%,58%,59%,57%,54%,56%,52%,51%,53%,52%,56%,55%,55%,53%,55%,50%,53%,50%,48%,51%,49%,53%,54%,54%,53%,46%,48%,48%,51%,49%,52%,47%,52%,53%,52%,55%,53%,53%,50%,52%,50%,53%,53%,50%,54%,54%,57%,56%,56%,53%,56%,55%,53%,56%,54%,60%,56%,57%,54%,57%,54%,58%,56%,56%,53%,56%,55%,54%
Immigration & Asylum,28%,25%,27%,24%,27%,27%,27%,24%,27%,27%,25%,19%,25%,21%,21%,22%,28%,20%,22%,19%,20%,17%,18%,17%,18%,16%,14%,15%,15%,16%,16%,15%,17%,15%,16%,17%,13%,13%,12%,11%,13%,14%,12%,14%,13%,13%,11%,10%,14%,12%,14%,13%,13%,16%,16%,12%,14%,10%,11%,12%,15%,13%,17%,15%,14%,13%,12%,11%,14%,15%,12%,11%,10%,15%,11%,10%,9%,7%,12%,10%,10%,14%,13%,12%,10%,9%,7%,9%,10%,8%,8%,8%,8%,8%,9%,10%,10%,7%,6%,6%,6%,9%,7%,8%,8%,6%,8%,8%,7%,7%,10%,8%,7%,8%,7%,8%,7%,6%,8%,7%,8%,6%,8%,6%,9%,7%,12%,6%,9%,5%,4%,2%,3%,3%,4%,4%,3%,6%,5%,5%,5%,5%,5%,5%,5%,6%,5%,7%,6%,6%,11%,12%,11%,10%,13%,10%,10%,8%,10%,9%,8%,7%,10%,7%,6%,9%,5%,6%,5%,4%,6%,5%,6%,5%,7%,5%,5%,7%,6%,7%,6%,6%,10%,10%,10%,8%,6%,9%,8%,7%,10%,9%,8%,9%,11%,10%,11%,8%,9%,9%,14%,11%,14%,12%,20%,17%,17%,19%,15%,12%,12%,11%,10%,9%,8%,10%,12%,14%,20%,20%,18%,13%,12%,12%,10%,14%,10%,11%,8%,7%,8%,8%,12%,17%,15%,12%,9%,9%,16%,14%,12%,12%,11%,9%,8%,10%,10%,16%,14%,9%,8%,9%,10%,7%,9%,9%,8%,9%,9%,9%,9%,7%,7%,9%,6%,8%,21%,15%,16%,16%,15%,16%,15%,16%,14%,15%,13%,12%,15%,14%,13%,10%,14%,14%,16%,18%,20%,22%,18%,16%,17%,15%,17%,14%,17%,18%,18%,15%,19%,20%,19%,16%,20%,15%,16%,23%,21%,23%,22%,20%,21%,16%,19%,18%,16%,18%,20%,18%,20%,19%,20%,23%,19%,23%,21%,20%,22%,19%,23%,18%,22%,18%,20%,20%,17%,19%,18%,20%,16%,18%,18%,19%,23%,21%,23%,23%
Crime,5%,7%,7%,6%,5%,5%,6%,6%,5%,4%,6%,4%,5%,6%,6%,4%,6%,6%,6%,6%,6%,5%,8%,8%,5%,6%,7%,7%,6%,6%,11%,7%,7%,7%,7%,7%,9%,10%,7%,8%,8%,8%,6%,10%,8%,9%,7%,8%,9%,7%,10%,18%,16%,17%,15%,20%,17%,17%,18%,18%,20%,18%,13%,16%,14%,12%,18%,16%,16%,17%,16%,16%,14%,16%,13%,14%,14%,18%,18%,18%,15%,15%,13%,14%,18%,29%,22%,30%,26%,21%,18%,14%,22%,22%,25%,22%,21%,24%,23%,23%,27%,23%,21%,22%,25%,20%,20%,16%,21%,21%,21%,17%,15%,19%,17%,15%,12%,17%,15%,15%,17%,18%,16%,17%,18%,20%,21%,15%,16%,10%,7%,6%,9%,6%,4%,5%,8%,6%,8%,6%,8%,8%,10%,8%,12%,8%,9%,9%,8%,7%,8%,9%,9%,8%,10%,9%,7%,11%,9%,8%,7%,7%,7%,6%,7%,9%,6%,6%,6%,7%,7%,7%,6%,4%,6%,7%,7%,6%,8%,10%,7%,11%,15%,12%,13%,16%,15%,14%,14%,15%,13%,14%,12%,13%,12%,14%,14%,13%,12%,10%,9%,12%,12%,13%,12%,10%,12%,8%,11%,9%,13%,9%,13%,11%,10%,10%,8%,12%,11%,13%,12%,12%,9%,9%,10%,13%,10%,12%,9%,11%,11%,9%,8%,8%,9%,9%,9%,7%,7%,8%,9%,9%,8%,7%,10%,8%,7%,8%,7%,8%,10%,6%,7%,8%,6%,9%,6%,10%,9%,10%,12%,7%,10%,9%,7%,7%,7%,9%,6%,7%,10%,7%,6%,9%,9%,7%,8%,10%,9%,9%,10%,9%,11%,11%,9%,9%,11%,11%,10%,10%,13%,10%,8%,9%,11%,11%,12%,11%,9%,12%,8%,10%,7%,9%,9%,9%,11%,9%,11%,11%,13%,10%,15%,12%,15%,11%,14%,13%,16%,14%,14%,12%,11%,11%,11%,11%,11%,11%,10%,14%,16%,12%,12%,12%,12%,14%,12%,11%,13%,13%,13%,13%,17%,16%,14%,13%
The economy,53%,54%,55%,51%,50%,45%,44%,44%,53%,47%,47%,50%,42%,41%,38%,43%,38%,38%,38%,39%,39%,40%,39%,40%,45%,46%,40%,41%,41%,36%,34%,40%,44%,45%,40%,37%,37%,42%,35%,39%,40%,38%,39%,36%,33%,34%,37%,36%,34%,36%,32%,32%,31%,30%,34%,35%,36%,34%,33%,34%,33%,30%,34%,35%,37%,36%,35%,35%,38%,34%,40%,39%,36%,37%,34%,34%,34%,28%,32%,35%,37%,37%,37%,37%,36%,35%,31%,33%,37%,28%,33%,32%,31%,30%,27%,31%,31%,30%,34%,37%,33%,31%,32%,33%,31%,31%,33%,31%,33%,31%,32%,31%,36%,31%,32%,26%,28%,33%,29%,32%,30%,30%,30%,34%,30%,32%,33%,32%,28%,34%,49%,50%,55%,58%,57%,61%,59%,59%,59%,64%,56%,59%,63%,62%,61%,62%,63%,58%,61%,60%,57%,62%,59%,60%,58%,56%,56%,61%,58%,55%,57%,55%,59%,56%,60%,57%,61%,56%,57%,54%,58%,52%,56%,53%,51%,51%,55%,61%,58%,58%,62%,58%,59%,55%,57%,53%,53%,54%,48%,49%,52%,50%,50%,51%,49%,42%,48%,49%,50%,45%,45%,44%,44%,39%,37%,39%,39%,40%,41%,44%,45%,50%,46%,42%,44%,45%,41%,43%,39%,38%,43%,49%,44%,49%,51%,44%,48%,50%,60%,52%,56%,56%,52%,59%,56%,63%,62%,61%,58%,57%,62%,64%,65%,66%,66%,67%,70%,71%,69%,70%,74%,70%,70%,71%,74%,71%,77%,76%,76%,71%,70%,80%,72%,75%,78%,73%,75%,73%,75%,73%,71%,70%,66%,72%,69%,69%,65%,68%,67%,70%,68%,66%,69%,65%,60%,64%,63%,59%,63%,60%,59%,61%,64%,63%,60%,58%,63%,62%,70%,67%,64%,66%,65%,63%,67%,65%,67%,64%,64%,63%,60%,65%,58%,62%,59%,61%,62%,63%,57%,55%,59%,59%,62%,60%,59%,58%,59%,58%,59%,58%,56%,57%,64%,59%,62%,61%,58%,57%,58%,59%,57%,59%,54%,53%,54%,51%
Tax,4%,6%,5%,5%,5%,6%,6%,5%,4%,4%,3%,4%,4%,5%,4%,4%,4%,4%,4%,5%,7%,6%,5%,6%,4%,6%,5%,6%,7%,6%,4%,4%,5%,4%,4%,3%,3%,5%,6%,4%,5%,4%,4%,6%,3%,4%,4%,5%,4%,4%,4%,4%,5%,3%,5%,4%,4%,4%,3%,3%,5%,6%,5%,3%,3%,3%,3%,5%,4%,5%,5%,3%,4%,4%,4%,4%,5%,4%,3%,4%,3%,3%,3%,3%,4%,3%,3%,2%,2%,4%,4%,3%,4%,2%,4%,5%,2%,3%,3%,4%,2%,4%,3%,3%,3%,3%,3%,3%,3%,3%,3%,4%,5%,4%,4%,4%,4%,3%,3%,3%,4%,2%,3%,3%,5%,4%,3%,3%,3%,2%,3%,2%,3%,3%,4%,5%,4%,4%,4%,5%,4%,4%,3%,2%,3%,2%,4%,2%,3%,4%,3%,3%,2%,5%,4%,3%,2%,2%,3%,6%,4%,3%,3%,3%,4%,5%,4%,3%,3%,3%,3%,4%,4%,2%,3%,4%,4%,5%,4%,4%,6%,5%,4%,4%,5%,4%,4%,4%,4%,4%,4%,3%,5%,5%,4%,5%,4%,6%,4%,2%,3%,6%,4%,4%,3%,4%,5%,9%,10%,8%,7%,9%,7%,6%,9%,6%,6%,6%,6%,7%,5%,5%,6%,7%,6%,7%,7%,12%,16%,13%,10%,11%,12%,13%,11%,14%,15%,16%,17%,15%,14%,14%,12%,13%,10%,12%,14%,11%,13%,10%,15%,13%,14%,14%,14%,12%,11%,11%,10%,10%,12%,17%,11%,13%,12%,11%,8%,10%,13%,12%,9%,8%,10%,9%,8%,7%,6%,8%,8%,9%,8%,7%,7%,7%,9%,10%,10%,10%,7%,8%,9%,9%,10%,8%,7%,7%,8%,7%,8%,7%,8%,8%,8%,9%,7%,7%,6%,8%,7%,7%,7%,8%,9%,8%,8%,7%,8%,8%,9%,7%,12%,8%,9%,9%,7%,10%,11%,8%,9%,9%,10%,9%,11%,9%,10%,7%,11%,9%,9%,9%,10%,11%,10%,9%,9%,8%
Pensions,7%,8%,6%,7%,8%,6%,9%,7%,10%,10%,8%,8%,8%,7%,8%,5%,7%,7%,8%,8%,10%,9%,9%,8%,5%,7%,8%,8%,7%,8%,6%,6%,6%,6%,6%,6%,8%,7%,5%,5%,7%,6%,7%,7%,7%,6%,6%,9%,8%,8%,7%,6%,6%,6%,6%,5%,4%,5%,6%,6%,6%,4%,5%,5%,6%,7%,4%,5%,6%,6%,6%,6%,6%,3%,4%,6%,7%,5%,6%,6%,5%,6%,4%,5%,5%,5%,4%,4%,5%,4%,5%,5%,5%,8%,5%,4%,6%,5%,6%,4%,4%,6%,5%,5%,6%,4%,5%,7%,6%,6%,5%,5%,6%,5%,7%,5%,5%,6%,6%,5%,6%,7%,5%,5%,6%,7%,6%,5%,5%,4%,3%,3%,3%,3%,3%,3%,4%,3%,2%,3%,2%,4%,3%,3%,3%,2%,4%,4%,3%,2%,4%,3%,3%,3%,4%,2%,4%,3%,2%,5%,3%,3%,3%,3%,2%,3%,3%,2%,4%,3%,3%,4%,4%,2%,3%,3%,4%,2%,2%,3%,3%,4%,4%,3%,4%,4%,4%,4%,3%,3%,4%,4%,4%,4%,4%,5%,4%,5%,5%,6%,4%,5%,5%,6%,5%,6%,5%,7%,6%,6%,5%,4%,5%,5%,5%,6%,5%,5%,5%,6%,5%,4%,3%,5%,7%,6%,6%,7%,6%,6%,7%,7%,5%,5%,5%,5%,7%,6%,6%,6%,7%,8%,7%,7%,5%,6%,6%,6%,7%,5%,5%,5%,4%,5%,5%,7%,6%,7%,4%,6%,6%,8%,8%,6%,8%,8%,7%,7%,4%,4%,5%,4%,5%,5%,5%,4%,6%,7%,5%,5%,6%,5%,4%,5%,4%,6%,8%,6%,6%,5%,5%,6%,6%,6%,5%,7%,5%,6%,5%,5%,4%,3%,4%,4%,6%,4%,4%,4%,3%,4%,6%,5%,4%,5%,4%,7%,5%,4%,5%,4%,4%,5%,4%,6%,4%,4%,4%,4%,6%,5%,4%,6%,7%,5%,5%,6%,4%,5%,5%,7%,6%,6%,6%,4%,5%,4%
Education,17%,17%,17%,20%,18%,19%,22%,16%,16%,17%,17%,14%,17%,16%,16%,17%,15%,15%,19%,16%,20%,24%,19%,18%,19%,24%,26%,22%,24%,25%,21%,21%,23%,18%,20%,21%,21%,15%,21%,15%,20%,15%,19%,21%,20%,19%,17%,22%,21%,17%,19%,18%,19%,17%,22%,18%,16%,19%,16%,18%,17%,17%,14%,17%,16%,17%,15%,15%,13%,12%,15%,16%,16%,14%,15%,12%,16%,18%,17%,17%,17%,14%,14%,15%,16%,17%,17%,17%,18%,17%,17%,19%,17%,18%,19%,14%,18%,16%,14%,17%,15%,14%,17%,19%,13%,15%,16%,17%,14%,18%,17%,19%,16%,19%,16%,17%,21%,14%,16%,15%,17%,17%,16%,18%,16%,15%,15%,15%,16%,14%,11%,12%,11%,14%,13%,11%,16%,17%,16%,20%,19%,17%,23%,26%,22%,20%,19%,17%,16%,18%,20%,26%,25%,21%,20%,17%,17%,17%,17%,15%,18%,16%,13%,16%,18%,13%,11%,16%,12%,17%,16%,23%,28%,24%,23%,31%,29%,26%,30%,24%,20%,22%,18%,22%,21%,21%,19%,20%,20%,20%,18%,19%,21%,25%,26%,25%,24%,27%,24%,21%,21%,22%,19%,18%,18%,16%,18%,16%,16%,16%,13%,14%,15%,15%,16%,14%,15%,15%,13%,15%,15%,15%,15%,15%,17%,19%,18%,16%,14%,17%,17%,15%,12%,11%,13%,11%,11%,15%,16%,12%,12%,12%,12%,12%,11%,12%,11%,12%,13%,11%,12%,12%,10%,8%,10%,9%,9%,11%,12%,11%,10%,9%,13%,11%,10%,12%,10%,14%,11%,14%,12%,13%,14%,12%,16%,12%,13%,15%,14%,19%,15%,17%,14%,17%,18%,17%,15%,15%,16%,17%,18%,17%,17%,17%,17%,14%,17%,15%,14%,14%,18%,17%,15%,17%,14%,12%,13%,16%,15%,14%,17%,15%,17%,19%,18%,15%,16%,15%,16%,14%,16%,15%,15%,16%,14%,17%,15%,18%,14%,17%,14%,16%,13%,14%,18%,14%,17%,17%,19%,16%,16%,16%,12%,16%,16%,15%
Family life & childcare,4%,4%,4%,4%,6%,4%,4%,5%,3%,3%,4%,6%,4%,4%,5%,4%,4%,6%,4%,3%,5%,4%,4%,4%,5%,5%,4%,3%,5%,4%,4%,4%,4%,4%,5%,6%,5%,3%,5%,5%,6%,4%,5%,4%,4%,5%,4%,3%,4%,3%,4%,5%,5%,4%,5%,5%,4%,4%,4%,4%,5%,4%,4%,3%,4%,5%,5%,4%,4%,4%,3%,4%,3%,3%,3%,6%,5%,3%,3%,3%,4%,4%,4%,5%,3%,4%,4%,3%,4%,4%,3%,6%,3%,3%,4%,5%,4%,4%,4%,3%,4%,4%,5%,4%,4%,4%,4%,4%,2%,4%,5%,5%,4%,5%,5%,4%,6%,4%,7%,4%,4%,4%,4%,4%,4%,4%,5%,5%,5%,4%,11%,11%,8%,8%,8%,9%,9%,9%,9%,10%,9%,5%,6%,7%,4%,6%,4%,6%,4%,6%,4%,6%,5%,5%,4%,5%,4%,4%,5%,5%,4%,10%,8%,5%,5%,5%,5%,6%,4%,6%,6%,5%,5%,9%,7%,9%,6%,8%,6%,5%,5%,7%,5%,6%,6%,6%,4%,4%,9%,7%,5%,6%,7%,4%,5%,6%,6%,4%,5%,6%,5%,6%,6%,6%,5%,5%,6%,4%,5%,4%,5%,7%,5%,5%,5%,5%,5%,6%,5%,6%,6%,5%,6%,6%,6%,5%,8%,7%,6%,6%,7%,5%,5%,4%,5%,8%,9%,10%,8%,6%,8%,9%,7%,10%,7%,8%,7%,9%,5%,7%,7%,7%,7%,6%,7%,6%,8%,8%,6%,7%,7%,5%,7%,8%,8%,8%,7%,7%,8%,7%,8%,9%,8%,5%,7%,7%,8%,6%,9%,7%,5%,10%,8%,8%,8%,8%,9%,9%,5%,9%,7%,7%,8%,10%,8%,10%,7%,7%,7%,6%,7%,6%,7%,6%,8%,4%,5%,9%,5%,6%,7%,6%,5%,7%,7%,9%,7%,7%,6%,7%,8%,8%,6%,8%,6%,9%,7%,6%,7%,8%,7%,6%,6%,7%,6%,9%,8%,7%,7%,8%,8%,7%,7%,8%,7%,7%
Housing,20%,20%,23%,23%,23%,26%,21%,21%,20%,22%,17%,22%,18%,21%,19%,20%,20%,22%,22%,22%,19%,23%,21%,20%,17%,18%,19%,18%,19%,15%,14%,19%,18%,20%,20%,19%,19%,21%,23%,26%,26%,26%,21%,23%,25%,20%,22%,25%,21%,32%,27%,22%,21%,23%,21%,20%,22%,24%,22%,19%,18%,19%,20%,18%,20%,18%,20%,18%,20%,24%,21%,19%,19%,21%,23%,20%,18%,19%,18%,16%,16%,19%,19%,19%,20%,17%,16%,16%,19%,17%,16%,15%,18%,16%,16%,14%,17%,17%,15%,16%,15%,17%,14%,13%,15%,16%,15%,18%,19%,17%,14%,19%,15%,16%,17%,18%,16%,17%,15%,15%,15%,19%,14%,18%,18%,19%,16%,17%,20%,16%,11%,10%,12%,11%,10%,10%,10%,9%,10%,9%,12%,10%,9%,8%,9%,9%,11%,7%,10%,8%,10%,10%,14%,12%,12%,13%,10%,12%,11%,10%,10%,10%,11%,11%,9%,11%,12%,10%,9%,10%,11%,12%,8%,9%,9%,11%,11%,11%,13%,13%,13%,12%,9%,16%,16%,16%,16%,16%,19%,20%,18%,17%,19%,17%,19%,20%,19%,17%,17%,17%,16%,18%,20%,18%,18%,18%,18%,15%,17%,17%,16%,17%,16%,16%,15%,15%,17%,14%,16%,17%,17%,17%,16%,16%,17%,16%,21%,19%,18%,20%,19%,14%,18%,16%,19%,18%,17%,17%,15%,19%,17%,16%,19%,18%,20%,21%,18%,18%,18%,20%,19%,17%,14%,18%,17%,15%,19%,13%,17%,17%,18%,18%,17%,18%,15%,18%,15%,14%,15%,13%,16%,18%,17%,15%,14%,14%,17%,16%,16%,15%,15%,14%,18%,16%,15%,20%,19%,19%,22%,18%,19%,19%,20%,20%,22%,21%,16%,20%,23%,21%,24%,21%,24%,23%,23%,25%,24%,24%,25%,25%,22%,24%,23%,21%,24%,26%,25%,26%,25%,23%,26%,23%,27%,25%,27%,25%,26%,24%,24%,22%,23%,26%,24%,27%,24%,25%,25%,29%,26%,25%,22%,23%,24%,25%,26%,29%
The environment,15%,13%,14%,13%,13%,15%,14%,16%,14%,14%,17%,16%,14%,13%,13%,14%,15%,15%,13%,15%,12%,13%,15%,16%,14%,13%,12%,16%,11%,12%,14%,13%,13%,17%,14%,17%,16%,15%,16%,15%,17%,15%,15%,16%,16%,17%,16%,17%,15%,15%,18%,16%,18%,19%,18%,19%,15%,18%,16%,16%,17%,18%,19%,17%,19%,17%,17%,14%,20%,20%,20%,17%,21%,13%,25%,23%,22%,27%,22%,25%,25%,20%,19%,22%,21%,27%,24%,28%,25%,38%,40%,40%,39%,40%,42%,41%,38%,39%,41%,38%,38%,37%,41%,35%,35%,42%,41%,40%,42%,38%,41%,41%,41%,37%,41%,44%,39%,37%,40%,44%,42%,47%,48%,47%,43%,43%,43%,46%,44%,41%,28%,28%,29%,30%,31%,30%,31%,31%,33%,32%,34%,35%,31%,34%,36%,36%,35%,35%,33%,33%,32%,30%,31%,31%,32%,33%,35%,32%,33%,35%,32%,32%,26%,34%,33%,33%,32%,33%,31%,30%,36%,35%,31%,33%,31%,34%,32%,39%,35%,36%,37%,37%,38%,39%,38%,38%,41%,44%,43%,44%,43%,42%,40%,37%,41%,41%,34%,43%,39%,50%,41%,46%,46%,51%,48%,47%,46%,45%,45%,45%,45%,42%,48%,47%,54%,53%,54%,48%,44%,43%,42%,41%,37%,41%,38%,42%,40%,38%,39%,41%,37%,35%,38%,37%,36%,35%,33%,38%,35%,43%,35%,36%,37%,35%,38%,38%,36%,35%,32%,35%,33%,41%,49%,44%,45%,47%,43%,40%,41%,43%,40%,36%,38%,40%,35%,37%,39%,39%,36%,39%,36%,37%,33%,31%,34%,35%,35%,30%,29%,32%,35%,31%,32%,33%,33%,36%,33%,30%,32%,32%,28%,32%,31%,32%,34%,32%,35%,37%,32%,31%,35%,39%,37%,44%,41%,40%,38%,38%,37%,40%,38%,38%,41%,38%,38%,38%,36%,38%,35%,36%,37%,40%,34%,35%,39%,34%,36%,35%,33%,32%,34%,35%,32%,30%,34%,31%,30%,30%,34%,31%,33%,32%,28%,30%,30%,31%
