Date,issue,percentage
15/02/2011,Health,44.0
01/03/2011,Health,27.0
15/03/2011,Health,40.0
29/03/2011,Health,36.0
12/04/2011,Health,45.0
26/04/2011,Health,45.0
10/05/2011,Health,42.0
24/05/2011,Health,39.0
07/06/2011,Health,43.0
14/06/2011,Health,50.0
21/06/2011,Health,45.0
28/06/2011,Health,39.0
05/07/2011,Health,35.0
12/07/2011,Health,35.0
19/07/2011,Health,29.0
26/07/2011,Health,26.0
09/08/2011,Health,23.0
23/08/2011,Health,18.0
06/09/2011,Health,34.0
20/09/2011,Health,24.0
04/10/2011,Health,32.0
18/10/2011,Health,33.0
01/11/2011,Health,25.0
15/11/2011,Health,28.0
29/11/2011,Health,25.0
13/12/2011,Health,26.0
03/01/2012,Health,33.0
17/01/2012,Health,26.0
31/01/2012,Health,32.0
14/02/2012,Health,43.0
20/02/2012,Health,40.0
28/02/2012,Health,49.0
13/03/2012,Health,39.0
27/03/2012,Health,30.0
10/04/2012,Health,30.0
24/04/2012,Health,29.0
08/05/2012,Health,34.0
22/05/2012,Health,25.0
07/06/2012,Health,29.0
19/06/2012,Health,29.0
03/07/2012,Health,27.0
17/07/2012,Health,36.0
31/07/2012,Health,33.0
14/08/2012,Health,31.0
28/08/2012,Health,32.0
11/09/2012,Health,30.0
25/09/2012,Health,39.0
09/10/2012,Health,36.0
23/10/2012,Health,32.0
06/11/2012,Health,31.0
20/11/2012,Health,26.0
04/12/2012,Health,36.0
15/01/2013,Health,38.0
29/01/2013,Health,35.0
12/02/2013,Health,47.0
26/02/2013,Health,41.0
05/03/2013,Health,32.0
12/03/2013,Health,41.0
19/03/2013,Health,39.0
26/03/2013,Health,38.0
02/04/2013,Health,37.0
09/04/2013,Health,34.0
16/04/2013,Health,38.0
23/04/2013,Health,39.0
30/04/2013,Health,32.0
07/05/2013,Health,27.0
21/05/2013,Health,40.0
04/06/2013,Health,45.0
18/06/2013,Health,40.0
16/07/2013,Health,53.0
30/07/2013,Health,47.0
13/08/2013,Health,42.0
27/08/2013,Health,33.0
10/09/2013,Health,41.0
08/10/2013,Health,44.0
22/10/2013,Health,35.0
05/11/2013,Health,33.0
19/11/2013,Health,39.0
03/12/2013,Health,38.0
17/12/2013,Health,43.0
14/01/2014,Health,43.0
22/01/2014,Health,34.0
28/01/2014,Health,37.0
11/02/2014,Health,32.0
25/02/2014,Health,42.0
11/03/2014,Health,38.0
25/03/2014,Health,56.0
08/04/2014,Health,45.0
13/05/2014,Health,45.0
28/05/2014,Health,40.0
10/06/2014,Health,43.0
24/06/2014,Health,40.0
08/07/2014,Health,52.0
22/07/2014,Health,42.0
05/08/2014,Health,52.0
19/08/2014,Health,46.0
02/09/2014,Health,45.0
16/09/2014,Health,40.0
14/10/2014,Health,57.0
28/10/2014,Health,53.0
11/11/2014,Health,46.0
25/11/2014,Health,42.0
09/12/2014,Health,40.0
06/01/2015,Health,52.0
20/01/2015,Health,53.0
03/02/2015,Health,49.0
17/02/2015,Health,51.0
03/03/2015,Health,51.0
17/03/2015,Health,55.0
31/03/2015,Health,52.0
14/04/2015,Health,53.0
28/04/2015,Health,50.0
12/05/2015,Health,51.0
19/05/2015,Health,49.0
26/05/2015,Health,48.0
02/06/2015,Health,44.0
09/06/2015,Health,44.0
04/09/2015,Health,32.0
18/12/2015,Health,40.0
08/06/2016,Health,38.0
06/07/2016,Health,36.0
26/07/2016,Health,36.0
02/08/2016,Health,31.0
09/08/2016,Health,32.0
17/08/2016,Health,37.0
23/08/2016,Health,40.0
31/08/2016,Health,47.0
14/09/2016,Health,47.0
12/10/2016,Health,38.0
25/10/2016,Health,35.0
01/11/2016,Health,40.0
15/11/2016,Health,42.0
29/11/2016,Health,47.0
17/12/2016,Health,44.0
10/01/2017,Health,52.0
17/01/2017,Health,61.0
24/01/2017,Health,53.0
31/01/2017,Health,49.0
13/02/2017,Health,58.0
22/02/2017,Health,59.0
28/02/2017,Health,52.0
14/03/2017,Health,52.0
21/03/2017,Health,60.0
27/03/2017,Health,45.0
06/04/2017,Health,50.0
19/04/2017,Health,47.0
26/04/2017,Health,49.0
03/05/2017,Health,51.0
10/05/2017,Health,50.0
17/05/2017,Health,51.0
31/05/2017,Health,41.0
