Date,issue,percentage
26/07/2016,Health,36.0
02/08/2016,Health,34.0
09/08/2016,Health,36.0
17/08/2016,Health,35.0
23/08/2016,Health,37.0
31/08/2016,Health,45.0
14/09/2016,Health,44.0
12/10/2016,Health,38.0
25/10/2016,Health,39.0
01/11/2016,Health,41.0
15/11/2016,Health,42.0
29/11/2016,Health,43.0
17/12/2016,Health,41.0
10/01/2017,Health,54.0
17/01/2017,Health,61.0
24/01/2017,Health,51.0
31/01/2017,Health,53.0
13/02/2017,Health,57.0
22/02/2017,Health,59.0
28/02/2017,Health,53.0
14/03/2017,Health,47.0
21/03/2017,Health,53.0
27/03/2017,Health,50.0
06/04/2017,Health,48.0
19/04/2017,Health,50.0
26/04/2017,Health,54.0
03/05/2017,Health,54.0
10/05/2017,Health,59.0
17/05/2017,Health,57.0
31/05/2017,Health,54.0
07/06/2017,Health,49.0
22/06/2017,Health,46.0
11/07/2017,Health,48.0
01/08/2017,Health,47.0
31/08/2017,Health,43.0
12/09/2017,Health,43.0
11/10/2017,Health,43.0
28/11/2017,Health,48.0
12/12/2017,Health,48.0
20/12/2017,Health,44.0
21/12/2017,Health,51.0
03/01/2018,Health,47.0
08/01/2018,Health,60.0
16/01/2018,Health,60.0
30/01/2018,Health,61.0
06/02/2018,Health,61.0
13/02/2018,Health,60.0
20/02/2018,Health,55.0
27/02/2018,Health,55.0
06/03/2018,Health,50.0
27/03/2018,Health,52.0
10/04/2018,Health,48.0
17/04/2018,Health,49.0
25/04/2018,Health,47.0
01/05/2018,Health,46.0
09/05/2018,Health,50.0
14/05/2018,Health,51.0
21/05/2018,Health,51.0
29/05/2018,Health,56.0
05/06/2018,Health,48.0
12/06/2018,Health,49.0
19/06/2018,Health,55.0
26/06/2018,Health,53.0
04/07/2018,Health,52.0
09/07/2018,Health,51.0
17/07/2018,Health,50.0
23/07/2018,Health,47.0
31/07/2018,Health,49.0
14/08/2018,Health,42.0
21/08/2018,Health,42.0
29/08/2018,Health,42.0
04/09/2018,Health,45.0
20/09/2018,Health,42.0
01/10/2018,Health,43.0
09/10/2018,Health,45.0
15/10/2018,Health,43.0
23/10/2018,Health,45.0
05/11/2018,Health,43.0
19/11/2018,Health,44.0
27/11/2018,Health,43.0
04/12/2018,Health,42.0
07/01/2019,Health,42.0
14/01/2019,Health,39.0
21/01/2019,Health,43.0
04/02/2019,Health,42.0
07/03/2019,Health,34.0
25/03/2019,Health,37.0
03/04/2019,Health,40.0
11/04/2019,Health,40.0
30/04/2019,Health,38.0
29/05/2019,Health,39.0
06/06/2019,Health,42.0
24/06/2019,Health,44.0
01/07/2019,Health,41.0
08/07/2019,Health,41.0
14/07/2019,Health,37.0
22/07/2019,Health,39.0
29/07/2019,Health,37.0
05/08/2019,Health,39.0
11/08/2019,Health,40.0
19/08/2019,Health,41.0
26/08/2019,Health,40.0
02/09/2019,Health,39.0
09/09/2019,Health,41.0
16/09/2019,Health,37.0
23/09/2019,Health,42.0
30/09/2019,Health,37.0
06/10/2019,Health,42.0
14/10/2019,Health,38.0
21/10/2019,Health,43.0
28/10/2019,Health,43.0
04/11/2019,Health,47.0
11/11/2019,Health,50.0
18/11/2019,Health,54.0
25/11/2019,Health,59.0
01/12/2019,Health,58.0
